apply_now,new_job_post_flag,job_post_days,company_name,company_url,job_title,job_tags,job_snippet,job_url
https://sg.indeed.com/applystart?jk=2080f28e2812d52e&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKnferitcN7Oxty573e64sTGkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=bc13b03cd29c3d52&assa=2760,new,3,NE Digital,,Senior Machine Learning Engineer,['Full-time'],"Work with data scientists and domain experts to design the ML workflow, deployment strategy, and productionalize machine learning application/service (batch…",https://sg.indeed.com/rc/clk?jk=2080f28e2812d52e&fccid=7cf87f932afc64bc&vjs=3
https://sg.indeed.com/applystart?jk=fb7e375deaa06c3f&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKkz3B0xc9ivmoQe7YoefisBkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=0c4aa110613b8618&assa=7112,new,3,Grab,https://sg.indeed.com/cmp/Grab,Data Scientist (Geo),['Full-time'],"Gain insights from data and results.
Translate straightforward business problems into data science problems.
We extensively use various data science and machine…",https://sg.indeed.com/rc/clk?jk=fb7e375deaa06c3f&fccid=b79fa3ee18655a5a&vjs=3
https://sg.indeed.com/applystart?jk=9ada02f68f4d3b1f&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKlk6wCSRhaL_jHbKvubIz9NkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=890a9932c0bd241f&assa=9309,new,4,FrieslandCampina,https://sg.indeed.com/cmp/Frieslandcampina,Procurement Market Analytics Expert,['Full-time'],"From data-driven market analysis & forecasting, to smart data management, to data modelling & data science.
Proactive advocating of data-driven decision making.",https://sg.indeed.com/rc/clk?jk=9ada02f68f4d3b1f&fccid=bb9c97a740367a36&vjs=3
Apply Now,new,4,SWAT Mobility Pte. Ltd.,,Data Scientist,['Full-time'],"3-5 years algorithms development experience.
Good knowledge of algorithms, especially combinatorial optimization and graph theory.",https://sg.indeed.com/rc/clk?jk=5ea8aaa4706aeea2&fccid=81d0cdcd2f844676&vjs=3
Apply Now,,13,Partek Inc.,,Genomics Field Application Scientist - Experience with NGS D...,"['$75,000 - $110,000 a year', 'Full-time', 'Flexible hours']","Analyze customer data and produce reports including results and methods.
Prior experience with the data analysis of sequencing, microarrays or mass spectrometry…",https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChrvkutQYB0HFDDxFlBe1itQ3jz4ABAF0_3jie368NLyfZJ_SYARkP9sRUcxTMUdPds0Ag-iObFf337UsYeZgmdk1qKFr-n45XieTvaONwYJUL0o6BDKlK1QffOTI8d2ktNIzXChXeiqfXOh_Cvkl1IrJ8Ml-9WC8qotgAt03p_mRxJrBv_u1eJVew_qdMmwTJWY-8MxDmk3T0YGx230GF06aiDHkXscd-gDwf1_bfqckdABqypsJZpcvlJ_f37PZoeVJbxjhDuP5XGm06FvrcGCWmW-LapQWeXJwTZ6J_QJ16gXkg6deDrm17kLMNIfjpkHOpneINNUZ_NKkeh0XqMF2jC8ZySXlj4pKI3XYCaAcxFS8A12-_ZEKmUaGkfpx4ypbgk-FNBgB2fd9wILox34Bq34P7xJ7fN9JgB2ige8qh-P-L2WuE5uHiKUnULe1S4j9qju9Wk4_h1Qw9LJIlgmkL_s_CjMbSjnpyfIoAIsJPrpetQgk5DaPpNr9fDvbuBk71in--GvKmMm2wVAOB4fwK-FceWt2YIirU9_Sxyx0TzLASUShnLffYupJvuQs=&xkcb=SoDE-_M3YyfUcy2cVh0LbzkdCdPP&p=0&fvj=1&vjs=3
https://sg.indeed.com/applystart?jk=83177022e1f50fcf&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKmyTBtyzxJ2slTUvm12gmQ2kN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=73d1af0b3856c3b6&assa=229,,16,Bain & Company,,"Manager, Data Science",['Full-time'],"Comfortable working with large, complex data sets from varying sources (e.g., transactional & enterprise data, unfiltered data sets, internet/public data or…",https://sg.indeed.com/rc/clk?jk=83177022e1f50fcf&fccid=48270b2eee62c2c6&vjs=3
https://sg.indeed.com/applystart?jk=59ca343c9c718a9e&from=vj&pos=bottom&mvj=0&spon=1&adid=387089014&ad=-6NYlbfkN0Cp6KNEB19y8JALcHWdvRtcE36U0q3D7R7HlIOD-hiJ5nSFRqlr1Z0ZLs7PCbdrekC_Z2epzdeqUsDTrM2jozEL-vUenDrqYAu3nAEf65SEFUBNIragjAyaO0p5dMRcNsbtMNUq8s_mjZ93iYEJJi4kBfMItimYtWQY-Nhbv3nKr9VhJpUWBNsdtzDqtHj91ynxMTBWpz96i73YAT0jFNi7wc049Bv6ySyLPgQMjYPBDIRmNSA9TqUTK0LidcTIj7CvSspCJXSy6I-CRj9nCGmhb08aDgD6BPW0Uk05Cul8biByJElNzoFCr2IxLDaTqqNxafs4lQGNSp4xwzkzdv2HyFmK4sVyP8uKx3Iarjt7InAyL6g2qZIL&sjdu=RL-5-IekB49Yf89x8Y7IJttiq_mXw7qPyv-RCRoaAmHXfXa9GcELlW5yk7gw2dHF7FLRaxR8JDimyEfP0OpqbH1ky3GoVfbuLZ3lvOgLjRJYkrZYJbMFtqqtP_5PG6B7HJC0PYg8ifxy1W6Qq6ctUdzKA4PAvqoa01iLId9v4p4&vjfrom=serp&astse=cf67f13c614d4120&assa=5839,,18,OCBC Bank,https://sg.indeed.com/cmp/Ocbc-Bank,"Data Scientist - AI Lab, Group Data Office",['Full-time +1'],"Experience in dealing with business stakeholders, and guiding junior data scientist effectively.
Experience with big data technologies such as Hadoop, Impala…",https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cp6KNEB19y8JALcHWdvRtcE36U0q3D7R7HlIOD-hiJ5nSFRqlr1Z0ZLs7PCbdrekC_Z2epzdeqUsDTrM2jozEL-vUenDrqYAu3nAEf65SEFZ8BSQ76eVCP2ur_725GehVlCJudAmRQ1QIRyRp1TxV6l3o0HgAxlcYbznjflM0nfK8GB2kZFnGij_HS79oEYYO_O153JfpkkbzhLfqI48Wz7cPXURB412gkDTd2zUMZfEe-4_wjSOyMpviOtDYhkMG1VVey4DiKifsbWhPvhtNliTlWb-6orYiRBEoR8U8RA8byZei8vr_mm1MJnzBDHN1hp8y0AlGl8d_kO-RP6O9tuR4W85FkCvqGm2VPgz9KDZLMPKUdigOR8XId7MT-EnFllyybenduisiwz69AXEW6PLleM9rUnY4tyNJyx7Ji-LxhkqkeJlG1NEVnHgqFpgN50q07OFkwLzdEPvUIaU6uyS-u2qX1obFYhWHRGsJ6zT48uDqw9GBsz0goG2ZCUzqsdodQAxIlvs_deJYYm2twQNXcFgAEIwYfkHPLi3K-6yYY8864HMaC7u8-Z_awPXRo3rN_XZfkUshrJDV1df4O&xkcb=SoDt-_M3YyfUc9WcVh0LbzkdCdPP&p=1&fvj=0&vjs=3
Apply Now,,19,Lico Resources Pte Ltd,,Data Scientist (Machine Learning; Data Science),"['$6,000 - $9,000 a month', 'Full-time', 'Monday to Friday']","Ø experience in data engineering, including SQL and manipulating large.
Ø experience with building data products, either internal or consumer-facing a.",https://sg.indeed.com/company/Lico-Resources/jobs/Data-Scientist-0f34417ed627e14a?fccid=da7337e9028e7e5b&vjs=3
https://sg.indeed.com/applystart?jk=301e1e9d935671fa&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKkDQNPPcLC-Juaw7lwXHhT4kN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=3f0d1d32238bdb28&assa=6641,,24,NE Digital,,Data Scientist,['Full-time'],"Working with data engineer team to build and automate of the data workflows such as extraction, transformation, and load (ETL) to transform raw data for…",https://sg.indeed.com/rc/clk?jk=301e1e9d935671fa&fccid=7cf87f932afc64bc&vjs=3
https://sg.indeed.com/applystart?jk=04165e500f93fbb1&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKm1zrmT87DVuCzaJeWEjqsOkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=2eb35dc6d0853580&assa=1419,,24,AirAsia,https://sg.indeed.com/cmp/Airasia,Principal Data Scientist,['Full-time'],"Hands-on experience in complex data modelling, data analytics, simulation and optimization.
You will mentor junior data scientists.",https://sg.indeed.com/rc/clk?jk=04165e500f93fbb1&fccid=350f4541eb63ccf6&vjs=3
