First Posted,NCT Number,Title,Start Date,Completion Date,Sponsor/Collaborators,Company Name
"May 25, 2022",NCT05389410,PICO 7 vs PICO 14 in Revision Hip and Revision Knee Surgery.,September 2022,November 2023,"Robert Jones and Agnes Hunt Orthopaedic and District NHS Trust|Smith & Nephew, Inc.",Surgical Theater
"May 30, 2011",NCT01362881,Study of the Surgical Treatment of Early Onset Scoliosis Using a Non-invasive Growing Rod,January 2012,"August 31, 2017","Ellipse Technologies, Inc.",Surgical Theater
"August 14, 2015",NCT02523859,Study of the Efficacy and Safety of Remimazolam in General Anesthesia in Adults Undergoing Cardiac Surgery,July 2015,March 2016,Paion UK Ltd.|PRA Health Sciences,Surgical Theater
"April 15, 2021",NCT04845867,Thyroid HEmorrhage DetectOr Study,"July 1, 2021","August 31, 2022",ISAR-M GmbH|CRI-The Clinical Research Institute GmbH,Surgical Theater
"December 4, 2018",NCT03763721,The ADVISE Study: Advanced Visualization In Corneal Surgery Evaluation,"November 13, 2018","September 1, 2022",UMC Utrecht|Maastricht University Medical Center|Universitaire Ziekenhuizen KU Leuven|Carl Zeiss Surgical GmbH,Surgical Theater
"August 11, 2021",NCT04999917,Specimen PET-CT Imaging for Intraoperative Margin Assessment in Breast Cancer,"June 17, 2022",July 2023,XEOS Medical,Surgical Theater
"November 17, 2021",NCT05122585,Magnetic Tracer in the Sentinel Node Procedure in Breast Cancer: the Non-radioactive Alternative for Radio-isotopes,"August 1, 2021","February 9, 2022","Zuyderland Medisch Centrum|Sysmex America, Inc.",Surgical Theater
"August 19, 2016",NCT02872701,OTL38 Injection for Intraoperative Imaging of Folate Receptor Positive Lung Nodules,"May 4, 2017","November 30, 2018","On Target Laboratories, LLC|Medelis Inc.",Surgical Theater
"January 15, 2014",NCT02037269,LightPathTM Imaging System for Ex-vivo Assessment of Margin and Lymph Node Status in Breast Cancer Surgical Specimens,June 2014,July 2016,Lightpoint Medical Limited|Guy's and St Thomas' NHS Foundation Trust|King's College London,Surgical Theater
"December 14, 2022",NCT05649488,Evaluate the Safety and Efficacy of Intracoronary Lithotripsy Balloon Catheter and Intracoronary Lithotripsy Apparatus,"December 23, 2022","September 22, 2025","Shanghai Bluesail Boyuan Medical Technology Co., Ltd.",Surgical Theater
"December 7, 2018",NCT03769623,A Randomized Trial of a Biolimus-Coated Balloon Versus POBA in Small Vessel Coronary Artery Disease,"June 25, 2019","April 6, 2021",JW Medical Systems Ltd,Surgical Theater
"September 10, 2021",NCT05040074,SQ-Kyrin TMVr FIM Study,"April 1, 2021",October 2026,"Shanghai Shenqi Medical Technology Co., Ltd",Surgical Theater
"February 26, 2019",NCT03854162,A Study of a Surgical Guide for Dental Implantology,"August 17, 2018","February 28, 2019",Szeged University|Alpha - Bio Tec Ltd.|dicomLAB Ltd.,Surgical Theater
"January 27, 2020",NCT04241315,ELUCIDATE: Enabling Lung Cancer Identification Using Folate Receptor Targeting,"March 26, 2020","November 1, 2021","On Target Laboratories, LLC|Clinipace Worldwide",Surgical Theater
"December 20, 2019",NCT04207086,A Phase II Study of Neoadjuvant Pembrolizumab & Lenvatinib for Resectable Stage III Melanoma,"November 11, 2020","January 1, 2033",Melanoma Institute Australia|Merck Sharp & Dohme LLC,Surgical Theater
"December 16, 2020",NCT04668807,"Technical Capabilities of the ""SMART ANGEL Intra-hospital"" System 's Connected Medical Device (CMD)",December 2020,June 2021,Assistance Publique - Hôpitaux de Paris|Evolucare Technologies|InES - Innovation Electronic Software,Surgical Theater
"February 20, 2019",NCT03846791,An Evaluation of Health Outcomes for Mako Hip Replacement,"July 15, 2019",June 2024,Bournemouth University|Nuffield Health Bournemouth|Orthopaedic Research Institute|Stryker Orthopaedics,Surgical Theater
"June 14, 2013",NCT01878305,Neuromonitoring of Hepatic Encephalopathy,December 2005,December 2011,University of Helsinki|GE Healthcare,Surgical Theater
"November 5, 2021",NCT05109182,Virtual 3D Modelling for Improved Surgical Planning of Robotic-assisted Partial Nephrectomy,"January 1, 2022","August 1, 2023",Innersight Labs Ltd|Royal Free Hospital NHS Foundation Trust|Frimley Park Hospital NHS Trust|Sheffield Teaching Hospitals NHS Foundation Trust|North Bristol NHS Trust|Guy's and St Thomas' NHS Foundation Trust|King's College London,Surgical Theater
"July 22, 2021",NCT04973332,Safety and Efficacy of SINOMED SR for Endovascular Treatment of Acute Ischemic Stroke,"August 8, 2021","June 24, 2022",Sinomed Neurovita Technology Inc.,Surgical Theater
"August 8, 2016",NCT02858921,"Neoadjuvant Dabrafenib, Trametinib and/or Pembrolizumab in BRAF Mutant Resectable Stage III Melanoma","November 8, 2017",November 2024,Melanoma Institute Australia|Merck Sharp & Dohme LLC|Novartis,Surgical Theater
